小区,位置,户型,面积,朝向,装修,楼层,年份,台楼,其他
锦缘里嘉园 ,新秀,2室2厅 , 65.93平米 , 西南 , 精装 , 低楼层(共24层) , 2015年建 , 塔楼,
深中街 ,东门,3室2厅 , 85.84平米 , 南 , 精装 , 8层 , 1988年建 , 板塔结合,
田心庆云花园 ,笋岗,3室2厅 , 91.78平米 , 南 , 简装 , 高楼层(共8层) , 2000年建 , 板塔结合,
百仕达花园二期 ,百仕达,3室2厅 , 132.12平米 , 东南 , 简装 , 中楼层(共11层) , 1999年建 , 塔楼,
汇鑫花园 ,黄贝岭,2室1厅 , 71.08平米 , 南 , 精装 , 高楼层(共26层) , 2002年建 , 板塔结合,
华隆园 ,螺岭,1室1厅 , 37.31平米 , 南 , 其他 , 低楼层(共24层) , 2003年建 , 板塔结合,
华隆园 ,螺岭,1室0厅 , 29.92平米 , 北 , 简装 , 中楼层(共24层) , 2003年建 , 板塔结合,
新天地名居 ,黄贝岭,1室1厅 , 38.35平米 , 西北 , 简装 , 高楼层(共31层) , 2005年建 , 板塔结合,
鹏公馆 ,翠竹,2室1厅 , 37.04平米 , 东南 西南 , 精装 , 高楼层(共29层) , 2009年建 , 塔楼,
置地逸轩 ,春风路,1室1厅 , 44.91平米 , 南 , 简装 , 高楼层(共33层) , 2005年建 , 板塔结合,
雍翠华府 ,布心,1室1厅 , 36.7平米 , 东 , 精装 , 33层 , 2004年建 , 塔楼,
庐山花园 ,罗湖口岸,1室0厅 , 20.69平米 , 南 , 精装 , 中楼层(共31层) , 1996年建 , 塔楼,
百仕达东郡 ,百仕达,2室1厅 , 80.22平米 , 东 , 精装 , 中楼层(共27层) , 2005年建 , 板楼,
鸿颖大厦 ,银湖,2室2厅 , 86.54平米 , 南 , 简装 , 高楼层(共31层) , 2011年建 , 板塔结合,
庐山花园 ,罗湖口岸,1室0厅 , 20.69平米 , 南 , 精装 , 中楼层(共31层) , 1996年建 , 塔楼,
雍翠华府 ,布心,2室1厅 , 43.28平米 , 北 , 精装 , 35层 , 2004年建 , 塔楼,
东门168 ,螺岭,1室1厅 , 40.17平米 , 西南 , 精装 , 24层 , 2005年建 , 塔楼,
高嘉花园 ,春风路,2室1厅 , 51.9平米 , 东南 , 简装 , 高楼层(共6层) , 1985年建 , 板塔结合,
金源大厦 ,春风路,1室1厅 , 39.93平米 , 南 , 精装 , 中楼层(共24层) , 1995年建 , 板塔结合,
东方皇宫 ,春风路,2室1厅 , 63.7平米 , 东南 南 , 简装 , 高楼层(共29层) , 1990年建 , 板塔结合,
友谊大厦 ,春风路,2室1厅 , 46.93平米 , 北 , 简装 , 中楼层(共24层) , 1984年建 , 塔楼,
金园花园 ,地王,1室1厅 , 37.5平米 , 北 , 其他 , 低楼层(共15层) , 2000年建 , 板塔结合,
大澎花园 ,新秀,2室1厅 , 39.19平米 , 南 , 精装 , 低楼层(共8层) , 1996年建 , 板塔结合,
港澳8号 ,东门,1室1厅 , 51.27平米 , 北 , 简装 , 中楼层(共36层) , 2013年建 , 塔楼,
TCL雅馨居 ,地王,2室2厅 , 60.32平米 , 东 东南 南 , 精装 , 低楼层(共29层) , 2002年建 , 塔楼,
新天地名居 ,黄贝岭,1室1厅 , 38.36平米 , 东南 , 精装 , 中楼层(共31层) , 2005年建 , 板塔结合,
钻石时代 ,春风路,1室0厅 , 26.85平米 , 南 , 简装 , 低楼层(共20层) , 2008年建 , 板塔结合,
都市名园 ,万象城,1室1厅 , 49.19平米 , 东 , 精装 , 中楼层(共32层) , 2000年建 , 平房,
南塘物业小区 ,东门,1室0厅 , 19.87平米 , 东南 , 简装 , 高楼层(共12层) , 2000年建 , 板塔结合,
双城世纪 ,罗湖口岸,1室1厅 , 48.36平米 , 东南 , 精装 , 高楼层(共29层) , 2007年建 , 塔楼,
天俊大厦 ,春风路,1室0厅 , 33.8平米 , 北 , 精装 , 中楼层(共26层) , 2005年建 , 塔楼,
新银座华庭 ,罗湖口岸,2室1厅 , 67.97平米 , 南 , 简装 , 31层 , 2005年建 , 塔楼,
旭飞华达园 ,百仕达,1室1厅 , 41.96平米 , 南 , 精装 , 21层 , 2002年建 , 塔楼,
红岗大厦 ,银湖,2室2厅 , 95.04平米 , 西南 , 其他 , 中楼层(共32层) , 1998年建 , 板塔结合,
金城华庭 ,螺岭,1室1厅 , 35.58平米 , 北 , 精装 , 24层 , 2003年建 , 塔楼,
嘉宝田花园 ,笋岗,2室2厅 , 65.41平米 , 西 , 简装 , 低楼层(共26层) , 2005年建 , 塔楼,
沁芳名苑 ,黄贝岭,3室1厅 , 86.68平米 , 西南 , 简装 , 中楼层(共31层) , 2003年建 , 板塔结合,
梧桐苑 ,莲塘,3室2厅 , 84.38平米 , 北 , 简装 , 中楼层(共13层) , 2004年建 , 板塔结合,
东乐花园 ,百仕达,4室1厅 , 126.12平米 , 东北 , 其他 , 高楼层(共32层) , 1994年建 , 板塔结合,
阳光天地家园 ,翠竹,3室1厅 , 74.51平米 , 东 , 精装 , 高楼层(共32层) , 2004年建 , 塔楼,
新银座华庭 ,罗湖口岸,3室1厅 , 80.48平米 , 南 , 精装 , 31层 , 2005年建 , 塔楼,
雍翠华府 ,布心,3室1厅 , 75.67平米 , 西北 , 简装 , 32层 , 2004年建 , 塔楼,
英达花园 ,布心,3室2厅 , 96.06平米 , 南 , 精装 , 高楼层(共29层) , 1995年建 , 塔楼,
海关宿舍一院 ,罗湖口岸,3室1厅 , 62.64平米 , 南 北 , 简装 , 中楼层(共6层) , 1988年建 , 板塔结合,
东乐花园 ,百仕达,3室2厅 , 86.2平米 , 南 , 精装 , 中楼层(共7层) , 1988年建 , 板塔结合,
文华花园 ,黄贝岭,3室2厅 , 118.06平米 , 北 , 精装 , 高楼层(共30层) , 1992年建 , 板塔结合,
汇锦名园 ,螺岭,2室2厅 , 76.46平米 , 南 , 精装 , 24层 , 2001年建 , 塔楼,
海富花园 ,黄贝岭,3室1厅 , 84.71平米 , 东南 , 精装 , 低楼层(共32层) , 1991年建 , 板塔结合,
翡翠公寓 ,翠竹,1室1厅 , 33.7平米 , 东南 , 精装 , 32层 , 2014年建 , 板塔结合,
今日家园 ,布心,3室2厅 , 94.39平米 , 北 , 精装 , 高楼层(共25层) , 2002年建 , 板塔结合,
碧波花园北区 ,黄贝岭,4室2厅 , 154.83平米 , 东南 , 简装 , 高楼层(共7层) , 1987年建 , 板楼,
聚龙大厦 ,螺岭,2室1厅 , 60.75平米 , 东南 , 精装 , 中楼层(共31层) , 2001年建 , 塔楼,
佳宁娜广场 ,春风路,3室2厅 , 126.77平米 , 西 , 精装 , 高楼层(共31层) , 1997年建 , 板塔结合,
嘉宝田花园 ,笋岗,3室2厅 , 85.45平米 , 西北 , 精装 , 中楼层(共16层) , 2002年建 , 板塔结合,
海富花园 ,黄贝岭,3室2厅 , 84.71平米 , 东北 , 精装 , 中楼层(共32层) , 1991年建 , 板塔结合,
柏丽花园 ,翠竹,3室2厅 , 100.57平米 , 南 , 精装 , 中楼层(共32层) , 1996年建 , 板塔结合,
都市名园 ,万象城,3室2厅 , 105.59平米 , 西北 , 精装 , 中楼层(共32层) , 2000年建 , 平房,
华润银湖蓝山 ,银湖,3室2厅 , 89.41平米 , 南 , 精装 , 高楼层(共31层)  , 板塔结合,,
兰亭国际名园 ,莲塘,3室2厅 , 160.96平米 , 北 , 精装 , 低楼层(共50层) , 2011年建 , 塔楼,
庐山花园 ,罗湖口岸,1室1厅 , 42.53平米 , 东南 南 , 精装 , 低楼层(共27层) , 1996年建 , 塔楼,
深业东岭一期 ,黄贝岭,2室2厅 , 66.93平米 , 西北 , 精装 , 中楼层(共44层) , 2017年建 , 塔楼,
金丽豪苑 ,翠竹,1室1厅 , 40.44平米 , 北 , 简装 , 低楼层(共30层) , 2000年建 , 板塔结合,
红桂皇冠 ,地王,2室1厅 , 38.19平米 , 东北 , 精装 , 高楼层(共26层) , 2007年建 , 板塔结合,
怡泰大厦 ,黄贝岭,1室1厅 , 49.91平米 , 西北 , 精装 , 低楼层(共32层) , 2004年建 , 塔楼,
联城美园 ,春风路,1室1厅 , 33.25平米 , 西南 , 精装 , 35层 , 2006年建 , 塔楼,
怡泰大厦 ,黄贝岭,1室1厅 , 38.35平米 , 南 , 其他 , 低楼层(共32层) , 2004年建 , 塔楼,
双城世纪 ,罗湖口岸,1室0厅 , 44.28平米 , 南 , 精装 , 低楼层(共29层)  , 板塔结合,,
金迪名苑 ,布心,1室0厅 , 25.95平米 , 南 , 精装 , 中楼层(共17层) , 2004年建 , 板塔结合,
阳光城天悦 ,春风路,2室1厅 , 56.15平米 , 西 , 精装 , 低楼层(共40层)  , 塔楼,,
港澳8号 ,东门,1室1厅 , 48.46平米 , 东北 , 精装 , 高楼层(共36层) , 2013年建 , 塔楼,
翡翠公寓 ,翠竹,3室1厅 , 51.33平米 , 西南 , 精装 , 32层 , 2014年建 , 板塔结合,
松泉公寓 ,布心,1室1厅 , 50.32平米 , 南 , 简装 , 低楼层(共8层) , 1988年建 , 板塔结合,
长丰苑 ,春风路,1室0厅 , 33平米 , 南 , 精装 , 29层 , 1999年建 , 板塔结合,
城市天地广场 ,万象城,1室1厅 , 52.07平米 , 东北 , 简装 , 低楼层(共41层) , 2005年建 , 板塔结合,
靖轩豪苑 ,黄贝岭,2室2厅 , 71.92平米 , 西南 , 精装 , 32层 , 2017年建 , 塔楼,
雍翠华府 ,布心,2室1厅 , 63.07平米 , 北 , 简装 , 32层 , 2004年建 , 塔楼,
龙园苑 ,黄贝岭,1室1厅 , 49.92平米 , 北 , 简装 , 中楼层(共12层) , 2001年建 , 板塔结合,
国际名园 ,春风路,2室1厅 , 45.87平米 , 南 , 其他 , 中楼层(共31层) , 2004年建 , 板塔结合,
金城华庭 ,螺岭,2室1厅 , 62.34平米 , 南 , 简装 , 24层 , 2003年建 , 塔楼,
合正锦湖魅力城 ,洪湖,3室2厅 , 89.88平米 , 东北 , 精装 , 低楼层(共31层) , 2008年建 , 塔楼,
祥和花园二期 ,莲塘,2室1厅 , 57平米 , 北 , 简装 , 中楼层(共9层) , 2001年建 , 板塔结合,
旺业豪苑 ,东门,2室1厅 , 66.46平米 , 南 , 精装 , 中楼层(共33层) , 2003年建 , 塔楼,
水贝供电局住宅小区 ,百仕达,3室2厅 , 91.85平米 , 南 , 其他 , 低楼层(共7层) , 1995年建 , 板塔结合,
英达花园 ,布心,3室2厅 , 87.32平米 , 南 , 精装 , 中楼层(共8层) , 1995年建 , 塔楼,
德兴大厦 ,罗湖口岸,2室1厅 , 38.1平米 , 东南 , 简装 , 高楼层(共30层) , 1984年建 , 塔楼,
金迪名苑 ,布心,1室0厅 , 25.8平米 , 南 , 简装 , 高楼层(共17层) , 2004年建 , 板塔结合,
东门168 ,螺岭,1室0厅 , 24.11平米 , 东南 , 精装 , 29层 , 2005年建 , 塔楼,
向西雍睦豪庭 ,春风路,3室1厅 , 79.64平米 , 南 , 精装 , 高楼层(共30层) , 2018年建 , 塔楼,
联城美园 ,春风路,2室1厅 , 66.05平米 , 南 , 精装 , 35层 , 2006年建 , 塔楼,
南方证券大厦 ,春风路,2室1厅 , 65.37平米 , 东南 , 其他 , 中楼层(共29层) , 1998年建 , 板塔结合,
锦缘里嘉园 ,新秀,2室2厅 , 59.17平米 , 东南 , 精装 , 中楼层(共30层) , 2015年建 , 塔楼,
阳光新干线家园 ,春风路,1室1厅 , 39.6平米 , 西北 , 精装 , 低楼层(共33层) , 2005年建 , 塔楼,
联城美园 ,春风路,1室0厅 , 25.38平米 , 东南 , 其他 , 35层 , 2006年建 , 塔楼,
环岛丽园 ,螺岭,2室1厅 , 70.12平米 , 西南 , 其他 , 中楼层(共33层) , 2002年建 , 塔楼,
银座金钻 ,春风路,1室1厅 , 44.04平米 , 南 , 精装 , 中楼层(共30层) , 2003年建 , 板塔结合,
汇泰大厦 ,罗湖口岸,1室1厅 , 41.86平米 , 北 , 精装 , 33层 , 2008年建 , 板塔结合,
新银座华庭 ,罗湖口岸,2室2厅 , 55.84平米 , 南 , 精装 , 31层 , 2005年建 , 塔楼,
金色都汇 ,春风路,3室2厅 , 69.56平米 , 东南 , 精装 , 中楼层(共25层) , 2004年建 , 板楼,
联城美园 ,春风路,1室0厅 , 26.81平米 , 南 , 其他 , 35层 , 2006年建 , 塔楼,
金色都汇 ,春风路,1室1厅 , 44.93平米 , 东 , 精装 , 中楼层(共25层) , 2004年建 , 塔楼,
阳光新干线家园 ,春风路,1室1厅 , 40.71平米 , 西北 , 简装 , 低楼层(共33层) , 2005年建 , 塔楼,
颖隆大厦 ,布心,1室1厅 , 34.76平米 , 北 , 精装 , 中楼层(共33层) , 2003年建 , 板塔结合,
聚龙大厦 ,螺岭,2室1厅 , 65.11平米 , 东南 , 精装 , 中楼层(共32层) , 2003年建 , 塔楼,
雅仕居 ,清水河,1室1厅 , 33.68平米 , 东南 , 其他 , 低楼层(共10层) , 2001年建 , 板塔结合,
旭飞华达园 ,百仕达,1室0厅 , 22.59平米 , 东 , 精装 , 24层 , 2002年建 , 塔楼,
红桂皇冠 ,地王,2室1厅 , 37.39平米 , 西 , 精装 , 中楼层(共26层) , 2007年建 , 板塔结合,
云景豪园 ,春风路,2室1厅 , 63.03平米 , 西南 , 其他 , 高楼层(共31层) , 2002年建 , 板塔结合,
丰湖花园 ,清水河,1室1厅 , 41.33平米 , 南 , 精装 , 中楼层(共26层) , 2005年建 , 板塔结合,
城市天地广场 ,万象城,1室1厅 , 57.54平米 , 北 , 精装 , 高楼层(共41层) , 2005年建 , 板塔结合,
新银座华庭 ,罗湖口岸,2室1厅 , 55.84平米 , 南 , 简装 , 31层 , 2005年建 , 塔楼,
庐山花园 ,罗湖口岸,2室1厅 , 70.65平米 , 东南 , 简装 , 中楼层(共31层) , 1996年建 , 塔楼,
国际名园 ,春风路,1室0厅 , 22.57平米 , 东 , 精装 , 高楼层(共31层) , 2004年建 , 板塔结合,
雍翠豪园 ,莲塘,2室1厅 , 73.99平米 , 北 , 精装 , 中楼层(共9层) , 2002年建 , 板楼,
金城华庭 ,螺岭,1室1厅 , 35.5平米 , 西 , 精装 , 24层 , 2003年建 , 塔楼,
联城美园 ,春风路,1室1厅 , 33.41平米 , 西南 , 其他 , 35层 , 2006年建 , 塔楼,
泊林花园 ,翠竹,1室1厅 , 44.27平米 , 东南 , 简装 , 高楼层(共30层) , 2006年建 , 塔楼,
和平广场 ,地王,2室2厅 , 62.87平米 , 东南 , 精装 , 高楼层(共34层) , 2000年建 , 板塔结合,
南洋大厦 ,春风路,2室1厅 , 59.82平米 , 南 , 精装 , 中楼层(共28层) , 1985年建 , 板塔结合,
骏庭名园 ,地王,1室1厅 , 51.21平米 , 东 , 精装 , 低楼层(共31层) , 2001年建 , 板塔结合,
雍翠华府 ,布心,2室1厅 , 61.02平米 , 东南 , 简装 , 33层 , 2004年建 , 塔楼,
双城世纪 ,罗湖口岸,1室1厅 , 48.09平米 , 东 , 简装 , 中楼层(共29层) , 2007年建 , 板塔结合,
金鼎大厦 ,春风路,1室1厅 , 51.99平米 , 南 , 其他 , 中楼层(共28层) , 2003年建 , 板塔结合,
长丰苑 ,春风路,1室1厅 , 44.47平米 , 西 , 精装 , 29层 , 2000年建 , 板塔结合,
阳光天地家园 ,翠竹,1室1厅 , 41.33平米 , 西南 , 简装 , 低楼层(共31层) , 2004年建 , 塔楼,
旭飞华达园 ,百仕达,1室1厅 , 33.34平米 , 南 , 简装 , 21层 , 2002年建 , 塔楼,
海丽大厦 ,螺岭,2室1厅 , 75平米 , 东 , 简装 , 32层 , 1993年建 , 塔楼,
东门168 ,螺岭,1室0厅 , 26.84平米 , 南 , 简装 , 29层 , 2005年建 , 塔楼,
雍翠华府 ,布心,2室1厅 , 68.06平米 , 东南 , 精装 , 35层 , 2004年建 , 塔楼,
阳光新干线家园 ,春风路,1室1厅 , 39.27平米 , 南 西北 , 简装 , 中楼层(共33层) , 2005年建 , 塔楼,
笋岗大厦 ,笋岗,1室1厅 , 47.12平米 , 西 , 简装 , 高楼层(共23层) , 2004年建 , 板塔结合,
逸翠园二期 ,百仕达,2室1厅 , 65.63平米 , 南 , 精装 , 中楼层(共31层) , 2003年建 , 板塔结合,
万事达名苑二期 ,百仕达,1室1厅 , 47.51平米 , 北 , 精装 , 中楼层(共31层) , 2000年建 , 塔楼,
百仕达花园二期 ,百仕达,2室1厅 , 73.36平米 , 东南 , 精装 , 中楼层(共18层) , 1999年建 , 塔楼,
向西雍睦豪庭 ,春风路,3室2厅 , 89.78平米 , 南 , 其他 , 高楼层(共30层) , 2018年建 , 塔楼,
大中华汇展阁 ,罗湖口岸,3室1厅 , 73.27平米 , 东 , 简装 , 高楼层(共36层) , 1998年建 , 塔楼,
翠盈嘉园 ,洪湖,3室1厅 , 106.74平米 , 南 , 精装 , 中楼层(共34层) , 2002年建 , 塔楼,
和平广场 ,地王,3室2厅 , 75.83平米 , 西 , 简装 , 中楼层(共34层) , 2000年建 , 板塔结合,
友谊大厦 ,春风路,3室1厅 , 49.25平米 , 西南 , 其他 , 中楼层(共24层) , 1983年建 , 塔楼,
四季御园 ,莲塘,3室2厅 , 88平米 , 北 , 其他 , 低楼层(共47层) , 2015年建 , 塔楼,
卧龙阁 ,新秀,3室2厅 , 83.84平米 , 西北 , 其他 , 低楼层(共33层) , 2000年建 , 板塔结合,
新秀村南区 ,新秀,3室1厅 , 81.92平米 , 南 , 其他 , 中楼层(共8层) , 1998年建 , 板楼,
兆鑫汇金广场 ,春风路,3室2厅 , 97.51平米 , 南 , 其他 , 低楼层(共43层)  , 暂无数据,,
四季御园 ,莲塘,3室2厅 , 75.13平米 , 南 , 精装 , 高楼层(共39层) , 2015年建 , 板塔结合,
鹏兴花园六期 ,莲塘,3室2厅 , 89.95平米 , 北 , 精装 , 中楼层(共11层) , 2003年建 , 板楼,
合正荣悦 ,黄贝岭,3室1厅 , 87.83平米 , 东 , 精装 , 高楼层(共32层) , 2013年建 , 塔楼,
东门金座 ,东门,1室1厅 , 29.22平米 , 南 , 其他 , 中楼层(共22层) , 2003年建 , 塔楼,
东门天下 ,东门,1室1厅 , 50平米 , 东南 , 精装 , 中楼层(共31层) , 2005年建 , 塔楼,
长丰苑 ,春风路,1室0厅 , 38.8平米 , 东南 , 精装 , 29层 , 1999年建 , 板塔结合,
田心庆云花园 ,笋岗,3室2厅 , 91.98平米 , 东南 , 简装 , 高楼层(共8层) , 1999年建 , 板塔结合,
金鼎大厦 ,春风路,2室1厅 , 63.78平米 , 东南 , 精装 , 中楼层(共28层) , 2003年建 , 板塔结合,
祥和花园二期 ,莲塘,2室1厅 , 77.57平米 , 东 , 精装 , 高楼层(共7层) , 1999年建 , 板塔结合,
嘉宝田花园 ,笋岗,2室2厅 , 67.77平米 , 东 , 其他 , 低楼层(共26层) , 2005年建 , 塔楼,
阳光新干线家园 ,春风路,1室1厅 , 39.19平米 , 南 , 精装 , 低楼层(共33层) , 2005年建 , 塔楼,
卧龙阁 ,新秀,2室1厅 , 55.7平米 , 东南 , 简装 , 高楼层(共33层) , 2000年建 , 板塔结合,
新天地名居 ,黄贝岭,1室1厅 , 39.27平米 , 南 , 精装 , 中楼层(共31层) , 2005年建 , 板塔结合,
时尚新居 ,笋岗,1室0厅 , 35.65平米 , 西 , 精装 , 中楼层(共29层) , 2000年建 , 平房,
缤纷时代家园 ,螺岭,1室1厅 , 42.16平米 , 西 , 精装 , 高楼层(共32层) , 2004年建 , 板塔结合,
德兴大厦 ,罗湖口岸,2室1厅 , 44.61平米 , 南 , 精装 , 中楼层(共30层) , 1984年建 , 塔楼,
缤纷时代家园 ,螺岭,1室0厅 , 25.83平米 , 西 , 简装 , 高楼层(共33层) , 2004年建 , 板塔结合,
凤凰印象 ,螺岭,1室1厅 , 41.25平米 , 东南 , 精装 , 中楼层(共31层) , 2011年建 , 塔楼,
颖隆大厦 ,布心,2室1厅 , 43.55平米 , 东 北 , 简装 , 中楼层(共33层) , 2003年建 , 板塔结合,
银座金钻 ,春风路,2室1厅 , 55.47平米 , 东 , 简装 , 中楼层(共30层) , 2003年建 , 板塔结合,
佳宁娜广场 ,春风路,2室1厅 , 81.3平米 , 北 , 其他 , 中楼层(共31层) , 1997年建 , 板塔结合,
经典家园 ,地王,2室1厅 , 56.33平米 , 东南 , 其他 , 28层 , 2002年建 , 板塔结合,
城市天地广场 ,万象城,1室1厅 , 50.23平米 , 南 , 精装 , 中楼层(共41层) , 2005年建 , 板塔结合,
观山瑞苑 ,布心,1室0厅 , 36.22平米 , 东南 , 毛坯 , 低楼层(共46层)  , 板塔结合,,
洪湖大厦 ,东门,2室1厅 , 36.9平米 , 南 , 精装 , 中楼层(共19层) , 1993年建 , 板塔结合,
观山瑞苑 ,布心,1室1厅 , 41.56平米 , 南 , 毛坯 , 中楼层(共47层)  , 塔楼,,
深业东岭二期 ,黄贝岭,2室1厅 , 69.94平米 , 西北 , 精装 , 低楼层(共38层) , 2018年建 , 塔楼,
港岛银座 ,地王,1室0厅 , 41.05平米 , 西 , 精装 , 低楼层(共32层) , 2006年建 , 板楼,
向西雍睦豪庭 ,春风路,2室2厅 , 79.64平米 , 南 , 毛坯 , 中楼层(共30层) , 2018年建 , 塔楼,
汇鑫花园 ,黄贝岭,2室1厅 , 55平米 , 南 , 其他 , 低楼层(共26层) , 2002年建 , 板塔结合,
名仕阁 ,地王,2室1厅 , 53.04平米 , 北 , 其他 , 低楼层(共33层) , 1999年建 , 板塔结合,
旭飞华达园 ,百仕达,1室1厅 , 21.7平米 , 东北 , 简装 , 24层 , 2001年建 , 塔楼,
金城大厦 ,春风路,1室1厅 , 37.17平米 , 东南 , 简装 , 低楼层(共23层) , 1984年建 , 板塔结合,
深业东岭一期 ,黄贝岭,2室1厅 , 55.83平米 , 东南 , 简装 , 低楼层(共41层) , 2017年建 , 板塔结合,
旺业豪苑 ,东门,2室1厅 , 50平米 , 东 东南 , 简装 , 低楼层(共33层) , 2003年建 , 塔楼,
